quote,author,additional
Men think they are better than grass,W.S. Merwin,
There is no person without a world.,Anne Carson,Autobiography of Red
"Extended cognition cannot entirely replace centralised cognition; otherwise, the autonomy of the living system would disappear in a constant flux of ecological relations.",Hilton F. Japyassú and Kevin N. Laland,Extended spider cognition (389)
Erthe toc of erthe erthe wyth woh.<br/>Erthe other erthe to the erthe droh.<br/>Erthe leyde erthe in erthene throh.<br/>Tho heuede erthe of erthe erthe ynoh.,Anonymous,
"If James Lovelock noted that the weather worked like a person, why not imagine a person as being like the weather? In other words, perhaps one might deconstruct personhood into ambience, atmosphere, surroundings, dwelling, environment. . . This would provide a more appropriate philosophical view (I am reluctant to say ""ontological foundation"") for a deep ecology, an ecology that could assume that a politics of the environment must be coterminous with a change in the view of those who exist in/as that environment. A poetry that articulated the person as environment would not invert anthropocentrism into ""ecocentrism,"" it would thoroughly undo the notion of a center.",Timothy Morton,"Twinkle, Twinkle, Little Star' as an Ambient Poem; a Study of a Dialectical Image; with Some Remarks on Coleridge and Wordsworth"
"I am now working like a horse, as I must use the time in which it is possible to work and the carbuncles are still there, though now they only disturb me locally and not in the brainpan.",Marx to Engels,1865
"I always stumble on some particular perception or other, of heat or cold, light or shade, love or hatred, pain or pleasure. I never can catch myself at any time without a perception, and never can observe any thing but the perception.",David Hume,1739
Knowledge is by nature erotic—a guess is a kiss,Graham Foust,
FIRSTILIKEDEDGES<br/>NOWILIKEITALL,Jen Bervin,Silk Poems
Should we have stayed at home and thought of here?,Elizabeth Bishop,Questions of Time
"Think, when we talk of horses, that you see them.",Shakespeare,Henry V
We tortured some folks.,Barack Obama,
Give me a dozen healthy infants…,John B. Watson,
"Like water I spilled out, all my limbs fell apart",Psalms 22:13,tr. Robert Alter
"I felt as if I were standing still, and yet I knew I was being carried along by the uninterrupted flow of time... Time was the only moving thing in which I moved, I tried to grasp it, and every night I knew I had failed.",Michel Siffre,cave explorer
"A) I love them. B) They might be the most useful musical tool ever invented. On some level everything we hear can be separated out as a collection of sine tones. This means that in some contexts they can become invisible, affecting things without us directly hearing them (this is probably my favorite thing about them).",Michael Pisaro,on sine waves
